Chrono;Time;MIDS Status;DLIP Saturation;TDH079;retard (ms)
157.25;00:02:37.250;;;;30
157.28;00:02:37.280;;;;30
157.71;00:02:37.710;;;;30
157.71;00:02:37.710;;;;30
157.80;00:02:37.800;;;;30
157.82;00:02:37.820;;;;20
158.01;00:02:38.010;;;;10
158.35;00:02:38.350;;;;10
158.95;00:02:38.950;;;;7
159.00;00:02:39.000;;;;9
159.03;00:02:39.030;;;;9
159.29;00:02:39.290;;;;20
159.65;00:02:39.650;;;;14
159.65;00:02:39.650;;;;14
159.70;00:02:39.700;;;;20
159.70;00:02:39.700;;;;20
159.73;00:02:39.730;;;;49
159.79;00:02:39.790;;;;29
159.90;00:02:39.900;;;;10
160.20;00:02:40.200;;;;3
160.36;00:02:40.360;;;;10
160.45;00:02:40.450;;;;20
160.45;00:02:40.450;;;;20
160.51;00:02:40.510;;;;20
160.58;00:02:40.580;;;;30
160.67;00:02:40.670;;;;30
160.70;00:02:40.700;;;;30
160.70;00:02:40.700;;;;30
161.03;00:02:41.030;;;;30
161.13;00:02:41.130;;;;20
161.13;00:02:41.130;;;;20
161.21;00:02:41.210;;;;10
161.21;00:02:41.210;;;;10
161.32;00:02:41.320;;;;10
161.32;00:02:41.320;;;;10
161.35;00:02:41.350;;;;20
161.35;00:02:41.350;;;;20
161.52;00:02:41.520;;;;30
161.52;00:02:41.520;;;;30
161.54;00:02:41.540;;;;20
161.57;00:02:41.570;;;;30
161.61;00:02:41.610;;;;9
161.64;00:02:41.640;;;;20
161.66;00:02:41.660;;;;9
161.69;00:02:41.690;;;;10
161.72;00:02:41.720;;;;10
161.81;00:02:41.810;;;;19
161.84;00:02:41.840;;;;30
161.86;00:02:41.860;;;;20
161.91;00:02:41.910;;;;20
161.91;00:02:41.910;;;;20
161.94;00:02:41.940;;;;30
161.97;00:02:41.970;;;;30
161.97;00:02:41.970;;;;30
162.02;00:02:42.020;;;;30
162.05;00:02:42.050;;;;30
162.08;00:02:42.080;;;;30
162.18;00:02:42.180;;;;20
162.20;00:02:42.200;;;;20
